gameId,playId,playDescription,quarter,down,yardsToGo,possessionTeam,playType,yardlineSide,yardlineNumber,offenseFormation,personnelO,defendersInTheBox,numberOfPassRushers,personnelD,typeDropback,preSnapVisitorScore,preSnapHomeScore,gameClock,absoluteYardlineNumber,penaltyCodes,penaltyJerseyNumbers,passResult,offensePlayResult,playResult,epa,isDefensivePI,homeTeam,visiTeam,nonPossession,week
2018090600,75,(15:00) M.Ryan pass short right to J.Jones pushed ob at ATL 30 for 10 yards (M.Jenkins).,1,1,15,ATL,play_type_pass,ATL,20,I_FORM,"2 RB, 1 TE, 2 WR",7.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,0.0,0.0,15:00:00,90.0,,,C,10,10,0.261827272178674,False,PHI,ATL,PHI,1
2018090600,146,"(13:10) M.Ryan pass incomplete short right to C.Ridley (J.Mills, J.Hicks).",1,1,10,ATL,play_type_pass,PHI,39,SINGLEBACK,"1 RB, 1 TE, 3 WR",7.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,0.0,0.0,13:10:00,49.0,,,I,0,0,-0.372359818040743,False,PHI,ATL,PHI,1
2018090600,168,(13:05) (Shotgun) M.Ryan pass incomplete short left to D.Freeman.,1,2,10,ATL,play_type_pass,PHI,39,SHOTGUN,"2 RB, 1 TE, 2 WR",6.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,0.0,0.0,13:05:00,49.0,,,I,0,0,-0.702778658242491,False,PHI,ATL,PHI,1
2018090600,190,(13:01) (Shotgun) M.Ryan pass deep left to J.Jones to PHI 6 for 33 yards (R.Darby).,1,3,10,ATL,play_type_pass,PHI,39,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,5.0,"4 DL, 1 LB, 6 DB",SCRAMBLE_ROLLOUT_LEFT,0.0,0.0,13:01:00,49.0,,,C,33,33,3.04752999500653,False,PHI,ATL,PHI,1
2018090600,256,(10:59) (Shotgun) M.Ryan pass incomplete short right to D.Freeman.,1,3,1,ATL,play_type_pass,PHI,1,SHOTGUN,"2 RB, 3 TE, 0 WR",8.0,6.0,"6 DL, 3 LB, 2 DB",TRADITIONAL,0.0,0.0,10:59:00,11.0,,,I,0,0,-0.842271872651946,False,PHI,ATL,PHI,1
2018090600,320,(10:10) (Shotgun) N.Foles pass short left to N.Agholor to PHI 8 for 4 yards (R.Alford).,1,2,8,PHI,play_type_pass,PHI,4,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,4.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,0.0,0.0,10:10:00,14.0,,,C,4,4,-0.344096467462392,False,PHI,ATL,ATL,1
2018090600,344,(9:24) (Shotgun) N.Foles pass incomplete short left to D.Sproles (R.Allen).,1,3,4,PHI,play_type_pass,PHI,8,EMPTY,"1 RB, 2 TE, 2 WR",6.0,4.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,0.0,0.0,09:24:00,18.0,,,I,0,0,-1.19220828463531,False,PHI,ATL,ATL,1
2018090600,402,(9:08) M.Ryan pass incomplete deep left to M.Sanu.,1,1,10,ATL,play_type_pass,PHI,44,SINGLEBACK,"1 RB, 1 TE, 3 WR",7.0,4.0,"4 DL, 2 LB, 5 DB",SCRAMBLE_ROLLOUT_LEFT,0.0,0.0,09:08:00,54.0,,,I,0,0,-0.429862558722865,False,PHI,ATL,PHI,1
2018090600,492,(7:01) M.Ryan pass short left to T.Coleman pushed ob at PHI 10 for 26 yards (R.McLeod).,1,2,13,ATL,play_type_pass,PHI,36,SINGLEBACK,"1 RB, 2 TE, 2 WR",8.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,0.0,0.0,07:01:00,46.0,,,C,26,26,1.87980397791624,False,PHI,ATL,PHI,1
2018090600,521,"(6:19) M.Ryan pass short left to A.Hooper to PHI 7 for 3 yards (N.Gerry). Philadelphia challenged the pass completion ruling, and the play was Upheld. The ruling on the field stands. (Timeout #1.)",1,1,10,ATL,play_type_pass,PHI,10,SINGLEBACK,"1 RB, 2 TE, 2 WR",8.0,3.0,"4 DL, 2 LB, 5 DB",DESIGNED_ROLLOUT_LEFT,0.0,0.0,06:19:00,20.0,,,C,3,3,0.0456650977161344,False,PHI,ATL,PHI,1
2018090600,545,(5:38) M.Ryan pass incomplete short left.,1,2,7,ATL,play_type_pass,PHI,7,SINGLEBACK,"1 RB, 1 TE, 3 WR",7.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,0.0,0.0,05:38:00,17.0,,,I,0,0,-0.360975619142213,False,PHI,ATL,PHI,1
2018090600,636,(5:07) (Shotgun) M.Ryan pass incomplete short left to A.Hooper.,1,3,3,ATL,play_type_pass,PHI,3,SHOTGUN,"1 RB, 2 TE, 2 WR",6.0,4.0,"4 DL, 2 LB, 5 DB",TRADITIONAL,0.0,0.0,05:07:00,13.0,,,I,0,0,-0.87464025884641,False,PHI,ATL,PHI,1
2018090600,752,(3:46) (Shotgun) N.Foles pass short left to N.Agholor to PHI 43 for 6 yards (R.Alford).,1,2,4,PHI,play_type_pass,PHI,37,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,3.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,3.0,0.0,03:46:00,47.0,,,C,6,6,0.895417100238688,False,PHI,ATL,ATL,1
2018090600,776,(3:06) (Shotgun) N.Foles sacked at PHI 36 for -7 yards (B.Poole).,1,1,10,PHI,play_type_sack,PHI,43,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,5.0,"3 DL, 3 LB, 5 DB",TRADITIONAL,3.0,0.0,03:06:00,53.0,,,S,-7,-7,-0.980175197492843,False,PHI,ATL,ATL,1
